draw_no,date,querystring,weekday,year,week_no,prize,number,prize_type
4295,2018-07-28,sppl=RHJhd051bWJlcj00Mjk1,Sat,2018,29,first_prize,3013,1st
4294,2018-07-25,sppl=RHJhd051bWJlcj00Mjk0,Wed,2018,29,first_prize,1933,1st
4293,2018-07-22,sppl=RHJhd051bWJlcj00Mjkz,Sun,2018,29,first_prize,91,1st
4292,2018-07-21,sppl=RHJhd051bWJlcj00Mjky,Sat,2018,28,first_prize,6581,1st
4291,2018-07-18,sppl=RHJhd051bWJlcj00Mjkx,Wed,2018,28,first_prize,9129,1st
4290,2018-07-15,sppl=RHJhd051bWJlcj00Mjkw,Sun,2018,28,first_prize,2113,1st
4289,2018-07-14,sppl=RHJhd051bWJlcj00Mjg5,Sat,2018,27,first_prize,4264,1st
4288,2018-07-11,sppl=RHJhd051bWJlcj00Mjg4,Wed,2018,27,first_prize,838,1st
4287,2018-07-08,sppl=RHJhd051bWJlcj00Mjg3,Sun,2018,27,first_prize,9320,1st
4286,2018-07-07,sppl=RHJhd051bWJlcj00Mjg2,Sat,2018,26,first_prize,4662,1st
4285,2018-07-04,sppl=RHJhd051bWJlcj00Mjg1,Wed,2018,26,first_prize,7857,1st
4284,2018-07-01,sppl=RHJhd051bWJlcj00Mjg0,Sun,2018,26,first_prize,5156,1st
4283,2018-06-30,sppl=RHJhd051bWJlcj00Mjgz,Sat,2018,25,first_prize,3303,1st
4282,2018-06-27,sppl=RHJhd051bWJlcj00Mjgy,Wed,2018,25,first_prize,6090,1st
4281,2018-06-24,sppl=RHJhd051bWJlcj00Mjgx,Sun,2018,25,first_prize,78,1st
4280,2018-06-23,sppl=RHJhd051bWJlcj00Mjgw,Sat,2018,24,first_prize,5475,1st
4279,2018-06-20,sppl=RHJhd051bWJlcj00Mjc5,Wed,2018,24,first_prize,9982,1st
4278,2018-06-17,sppl=RHJhd051bWJlcj00Mjc4,Sun,2018,24,first_prize,3390,1st
4277,2018-06-16,sppl=RHJhd051bWJlcj00Mjc3,Sat,2018,23,first_prize,9068,1st
4276,2018-06-13,sppl=RHJhd051bWJlcj00Mjc2,Wed,2018,23,first_prize,9356,1st
4275,2018-06-10,sppl=RHJhd051bWJlcj00Mjc1,Sun,2018,23,first_prize,7417,1st
4274,2018-06-09,sppl=RHJhd051bWJlcj00Mjc0,Sat,2018,22,first_prize,7440,1st
4273,2018-06-06,sppl=RHJhd051bWJlcj00Mjcz,Wed,2018,22,first_prize,5042,1st
4272,2018-06-03,sppl=RHJhd051bWJlcj00Mjcy,Sun,2018,22,first_prize,2200,1st
4271,2018-06-02,sppl=RHJhd051bWJlcj00Mjcx,Sat,2018,21,first_prize,2243,1st
4270,2018-05-30,sppl=RHJhd051bWJlcj00Mjcw,Wed,2018,21,first_prize,5031,1st
4269,2018-05-27,sppl=RHJhd051bWJlcj00MjY5,Sun,2018,21,first_prize,8558,1st
4268,2018-05-26,sppl=RHJhd051bWJlcj00MjY4,Sat,2018,20,first_prize,3575,1st
4267,2018-05-23,sppl=RHJhd051bWJlcj00MjY3,Wed,2018,20,first_prize,3775,1st
4266,2018-05-20,sppl=RHJhd051bWJlcj00MjY2,Sun,2018,20,first_prize,5832,1st
4265,2018-05-19,sppl=RHJhd051bWJlcj00MjY1,Sat,2018,19,first_prize,2464,1st
4264,2018-05-16,sppl=RHJhd051bWJlcj00MjY0,Wed,2018,19,first_prize,162,1st
4263,2018-05-13,sppl=RHJhd051bWJlcj00MjYz,Sun,2018,19,first_prize,483,1st
4262,2018-05-12,sppl=RHJhd051bWJlcj00MjYy,Sat,2018,18,first_prize,2709,1st
4261,2018-05-09,sppl=RHJhd051bWJlcj00MjYx,Wed,2018,18,first_prize,9983,1st
4260,2018-05-06,sppl=RHJhd051bWJlcj00MjYw,Sun,2018,18,first_prize,3582,1st
4259,2018-05-05,sppl=RHJhd051bWJlcj00MjU5,Sat,2018,17,first_prize,1728,1st
4258,2018-05-02,sppl=RHJhd051bWJlcj00MjU4,Wed,2018,17,first_prize,5599,1st
4257,2018-04-29,sppl=RHJhd051bWJlcj00MjU3,Sun,2018,17,first_prize,4246,1st
4256,2018-04-28,sppl=RHJhd051bWJlcj00MjU2,Sat,2018,16,first_prize,9433,1st
4255,2018-04-25,sppl=RHJhd051bWJlcj00MjU1,Wed,2018,16,first_prize,2392,1st
4254,2018-04-22,sppl=RHJhd051bWJlcj00MjU0,Sun,2018,16,first_prize,4376,1st
4253,2018-04-21,sppl=RHJhd051bWJlcj00MjUz,Sat,2018,15,first_prize,7733,1st
4252,2018-04-18,sppl=RHJhd051bWJlcj00MjUy,Wed,2018,15,first_prize,615,1st
4251,2018-04-15,sppl=RHJhd051bWJlcj00MjUx,Sun,2018,15,first_prize,9129,1st
4250,2018-04-14,sppl=RHJhd051bWJlcj00MjUw,Sat,2018,14,first_prize,7959,1st
4249,2018-04-11,sppl=RHJhd051bWJlcj00MjQ5,Wed,2018,14,first_prize,9669,1st
4248,2018-04-08,sppl=RHJhd051bWJlcj00MjQ4,Sun,2018,14,first_prize,4810,1st
4247,2018-04-07,sppl=RHJhd051bWJlcj00MjQ3,Sat,2018,13,first_prize,461,1st
4246,2018-04-04,sppl=RHJhd051bWJlcj00MjQ2,Wed,2018,13,first_prize,9031,1st
4245,2018-04-01,sppl=RHJhd051bWJlcj00MjQ1,Sun,2018,13,first_prize,3589,1st
4244,2018-03-31,sppl=RHJhd051bWJlcj00MjQ0,Sat,2018,12,first_prize,1924,1st
4243,2018-03-28,sppl=RHJhd051bWJlcj00MjQz,Wed,2018,12,first_prize,121,1st
4242,2018-03-25,sppl=RHJhd051bWJlcj00MjQy,Sun,2018,12,first_prize,771,1st
4241,2018-03-24,sppl=RHJhd051bWJlcj00MjQx,Sat,2018,11,first_prize,477,1st
4240,2018-03-21,sppl=RHJhd051bWJlcj00MjQw,Wed,2018,11,first_prize,8041,1st
4239,2018-03-18,sppl=RHJhd051bWJlcj00MjM5,Sun,2018,11,first_prize,2086,1st
4238,2018-03-17,sppl=RHJhd051bWJlcj00MjM4,Sat,2018,10,first_prize,1363,1st
4237,2018-03-14,sppl=RHJhd051bWJlcj00MjM3,Wed,2018,10,first_prize,4111,1st
4236,2018-03-11,sppl=RHJhd051bWJlcj00MjM2,Sun,2018,10,first_prize,2821,1st
4235,2018-03-10,sppl=RHJhd051bWJlcj00MjM1,Sat,2018,09,first_prize,1065,1st
4234,2018-03-07,sppl=RHJhd051bWJlcj00MjM0,Wed,2018,09,first_prize,8576,1st
4233,2018-03-04,sppl=RHJhd051bWJlcj00MjMz,Sun,2018,09,first_prize,5773,1st
4232,2018-03-03,sppl=RHJhd051bWJlcj00MjMy,Sat,2018,08,first_prize,7504,1st
4231,2018-02-28,sppl=RHJhd051bWJlcj00MjMx,Wed,2018,08,first_prize,3265,1st
4230,2018-02-25,sppl=RHJhd051bWJlcj00MjMw,Sun,2018,08,first_prize,8481,1st
4229,2018-02-24,sppl=RHJhd051bWJlcj00MjI5,Sat,2018,07,first_prize,233,1st
4228,2018-02-21,sppl=RHJhd051bWJlcj00MjI4,Wed,2018,07,first_prize,6044,1st
4227,2018-02-18,sppl=RHJhd051bWJlcj00MjI3,Sun,2018,07,first_prize,6006,1st
4226,2018-02-17,sppl=RHJhd051bWJlcj00MjI2,Sat,2018,06,first_prize,969,1st
4225,2018-02-14,sppl=RHJhd051bWJlcj00MjI1,Wed,2018,06,first_prize,8549,1st
4224,2018-02-11,sppl=RHJhd051bWJlcj00MjI0,Sun,2018,06,first_prize,2984,1st
4223,2018-02-10,sppl=RHJhd051bWJlcj00MjIz,Sat,2018,05,first_prize,2195,1st
4222,2018-02-07,sppl=RHJhd051bWJlcj00MjIy,Wed,2018,05,first_prize,4522,1st
4221,2018-02-04,sppl=RHJhd051bWJlcj00MjIx,Sun,2018,05,first_prize,3889,1st
4220,2018-02-03,sppl=RHJhd051bWJlcj00MjIw,Sat,2018,04,first_prize,3849,1st
4219,2018-01-31,sppl=RHJhd051bWJlcj00MjE5,Wed,2018,04,first_prize,680,1st
4218,2018-01-28,sppl=RHJhd051bWJlcj00MjE4,Sun,2018,04,first_prize,9864,1st
4217,2018-01-27,sppl=RHJhd051bWJlcj00MjE3,Sat,2018,03,first_prize,8662,1st
4216,2018-01-24,sppl=RHJhd051bWJlcj00MjE2,Wed,2018,03,first_prize,5100,1st
4215,2018-01-21,sppl=RHJhd051bWJlcj00MjE1,Sun,2018,03,first_prize,7460,1st
4214,2018-01-20,sppl=RHJhd051bWJlcj00MjE0,Sat,2018,02,first_prize,4573,1st
4213,2018-01-17,sppl=RHJhd051bWJlcj00MjEz,Wed,2018,02,first_prize,7343,1st
4212,2018-01-14,sppl=RHJhd051bWJlcj00MjEy,Sun,2018,02,first_prize,9756,1st
4211,2018-01-13,sppl=RHJhd051bWJlcj00MjEx,Sat,2018,01,first_prize,709,1st
4210,2018-01-10,sppl=RHJhd051bWJlcj00MjEw,Wed,2018,01,first_prize,7497,1st
4209,2018-01-07,sppl=RHJhd051bWJlcj00MjA5,Sun,2018,01,first_prize,1575,1st
4208,2018-01-06,sppl=RHJhd051bWJlcj00MjA4,Sat,2018,00,first_prize,797,1st
4207,2018-01-03,sppl=RHJhd051bWJlcj00MjA3,Wed,2018,00,first_prize,2274,1st
4206,2017-12-31,sppl=RHJhd051bWJlcj00MjA2,Sun,2017,53,first_prize,2238,1st
4205,2017-12-30,sppl=RHJhd051bWJlcj00MjA1,Sat,2017,52,first_prize,7073,1st
4204,2017-12-27,sppl=RHJhd051bWJlcj00MjA0,Wed,2017,52,first_prize,9503,1st
4203,2017-12-24,sppl=RHJhd051bWJlcj00MjAz,Sun,2017,52,first_prize,4910,1st
4202,2017-12-23,sppl=RHJhd051bWJlcj00MjAy,Sat,2017,51,first_prize,8013,1st
4201,2017-12-20,sppl=RHJhd051bWJlcj00MjAx,Wed,2017,51,first_prize,8759,1st
4200,2017-12-17,sppl=RHJhd051bWJlcj00MjAw,Sun,2017,51,first_prize,9754,1st
4199,2017-12-16,sppl=RHJhd051bWJlcj00MTk5,Sat,2017,50,first_prize,5788,1st
4198,2017-12-13,sppl=RHJhd051bWJlcj00MTk4,Wed,2017,50,first_prize,5028,1st
4197,2017-12-10,sppl=RHJhd051bWJlcj00MTk3,Sun,2017,50,first_prize,2930,1st
4196,2017-12-09,sppl=RHJhd051bWJlcj00MTk2,Sat,2017,49,first_prize,8514,1st
4195,2017-12-06,sppl=RHJhd051bWJlcj00MTk1,Wed,2017,49,first_prize,826,1st
4194,2017-12-03,sppl=RHJhd051bWJlcj00MTk0,Sun,2017,49,first_prize,4921,1st
4193,2017-12-02,sppl=RHJhd051bWJlcj00MTkz,Sat,2017,48,first_prize,1857,1st
4192,2017-11-29,sppl=RHJhd051bWJlcj00MTky,Wed,2017,48,first_prize,529,1st
4191,2017-11-26,sppl=RHJhd051bWJlcj00MTkx,Sun,2017,48,first_prize,8119,1st
4190,2017-11-25,sppl=RHJhd051bWJlcj00MTkw,Sat,2017,47,first_prize,9470,1st
4189,2017-11-22,sppl=RHJhd051bWJlcj00MTg5,Wed,2017,47,first_prize,6450,1st
4188,2017-11-19,sppl=RHJhd051bWJlcj00MTg4,Sun,2017,47,first_prize,5785,1st
4187,2017-11-18,sppl=RHJhd051bWJlcj00MTg3,Sat,2017,46,first_prize,1346,1st
4186,2017-11-15,sppl=RHJhd051bWJlcj00MTg2,Wed,2017,46,first_prize,6108,1st
4185,2017-11-12,sppl=RHJhd051bWJlcj00MTg1,Sun,2017,46,first_prize,2595,1st
4184,2017-11-11,sppl=RHJhd051bWJlcj00MTg0,Sat,2017,45,first_prize,3602,1st
4183,2017-11-08,sppl=RHJhd051bWJlcj00MTgz,Wed,2017,45,first_prize,70,1st
4182,2017-11-05,sppl=RHJhd051bWJlcj00MTgy,Sun,2017,45,first_prize,8841,1st
4181,2017-11-04,sppl=RHJhd051bWJlcj00MTgx,Sat,2017,44,first_prize,6629,1st
4180,2017-11-01,sppl=RHJhd051bWJlcj00MTgw,Wed,2017,44,first_prize,4098,1st
4179,2017-10-29,sppl=RHJhd051bWJlcj00MTc5,Sun,2017,44,first_prize,3853,1st
4178,2017-10-28,sppl=RHJhd051bWJlcj00MTc4,Sat,2017,43,first_prize,1054,1st
4177,2017-10-25,sppl=RHJhd051bWJlcj00MTc3,Wed,2017,43,first_prize,4797,1st
4176,2017-10-22,sppl=RHJhd051bWJlcj00MTc2,Sun,2017,43,first_prize,1856,1st
4175,2017-10-21,sppl=RHJhd051bWJlcj00MTc1,Sat,2017,42,first_prize,8515,1st
4174,2017-10-18,sppl=RHJhd051bWJlcj00MTc0,Wed,2017,42,first_prize,7683,1st
4173,2017-10-15,sppl=RHJhd051bWJlcj00MTcz,Sun,2017,42,first_prize,6634,1st
4172,2017-10-14,sppl=RHJhd051bWJlcj00MTcy,Sat,2017,41,first_prize,4285,1st
4171,2017-10-11,sppl=RHJhd051bWJlcj00MTcx,Wed,2017,41,first_prize,3833,1st
4170,2017-10-08,sppl=RHJhd051bWJlcj00MTcw,Sun,2017,41,first_prize,6863,1st
4169,2017-10-07,sppl=RHJhd051bWJlcj00MTY5,Sat,2017,40,first_prize,7127,1st
4168,2017-10-04,sppl=RHJhd051bWJlcj00MTY4,Wed,2017,40,first_prize,7917,1st
4167,2017-10-01,sppl=RHJhd051bWJlcj00MTY3,Sun,2017,40,first_prize,6724,1st
4166,2017-09-30,sppl=RHJhd051bWJlcj00MTY2,Sat,2017,39,first_prize,1918,1st
4165,2017-09-27,sppl=RHJhd051bWJlcj00MTY1,Wed,2017,39,first_prize,1736,1st
4164,2017-09-24,sppl=RHJhd051bWJlcj00MTY0,Sun,2017,39,first_prize,2507,1st
4163,2017-09-23,sppl=RHJhd051bWJlcj00MTYz,Sat,2017,38,first_prize,2005,1st
4162,2017-09-20,sppl=RHJhd051bWJlcj00MTYy,Wed,2017,38,first_prize,1343,1st
4161,2017-09-17,sppl=RHJhd051bWJlcj00MTYx,Sun,2017,38,first_prize,5489,1st
4160,2017-09-16,sppl=RHJhd051bWJlcj00MTYw,Sat,2017,37,first_prize,2231,1st
4159,2017-09-13,sppl=RHJhd051bWJlcj00MTU5,Wed,2017,37,first_prize,9010,1st
4158,2017-09-10,sppl=RHJhd051bWJlcj00MTU4,Sun,2017,37,first_prize,5524,1st
4157,2017-09-09,sppl=RHJhd051bWJlcj00MTU3,Sat,2017,36,first_prize,4638,1st
4156,2017-09-06,sppl=RHJhd051bWJlcj00MTU2,Wed,2017,36,first_prize,7175,1st
4155,2017-09-03,sppl=RHJhd051bWJlcj00MTU1,Sun,2017,36,first_prize,1967,1st
4154,2017-09-02,sppl=RHJhd051bWJlcj00MTU0,Sat,2017,35,first_prize,8661,1st
4153,2017-08-30,sppl=RHJhd051bWJlcj00MTUz,Wed,2017,35,first_prize,9685,1st
4152,2017-08-27,sppl=RHJhd051bWJlcj00MTUy,Sun,2017,35,first_prize,7834,1st
4151,2017-08-26,sppl=RHJhd051bWJlcj00MTUx,Sat,2017,34,first_prize,3363,1st
4150,2017-08-23,sppl=RHJhd051bWJlcj00MTUw,Wed,2017,34,first_prize,7421,1st
4149,2017-08-20,sppl=RHJhd051bWJlcj00MTQ5,Sun,2017,34,first_prize,7845,1st
4148,2017-08-19,sppl=RHJhd051bWJlcj00MTQ4,Sat,2017,33,first_prize,2876,1st
4147,2017-08-16,sppl=RHJhd051bWJlcj00MTQ3,Wed,2017,33,first_prize,2481,1st
4146,2017-08-13,sppl=RHJhd051bWJlcj00MTQ2,Sun,2017,33,first_prize,5467,1st
4145,2017-08-12,sppl=RHJhd051bWJlcj00MTQ1,Sat,2017,32,first_prize,4823,1st
4144,2017-08-09,sppl=RHJhd051bWJlcj00MTQ0,Wed,2017,32,first_prize,2874,1st
4143,2017-08-06,sppl=RHJhd051bWJlcj00MTQz,Sun,2017,32,first_prize,3341,1st
4142,2017-08-05,sppl=RHJhd051bWJlcj00MTQy,Sat,2017,31,first_prize,6780,1st
4141,2017-08-02,sppl=RHJhd051bWJlcj00MTQx,Wed,2017,31,first_prize,8182,1st
4140,2017-07-30,sppl=RHJhd051bWJlcj00MTQw,Sun,2017,31,first_prize,1828,1st
4139,2017-07-29,sppl=RHJhd051bWJlcj00MTM5,Sat,2017,30,first_prize,8835,1st
4138,2017-07-26,sppl=RHJhd051bWJlcj00MTM4,Wed,2017,30,first_prize,6440,1st
4137,2017-07-23,sppl=RHJhd051bWJlcj00MTM3,Sun,2017,30,first_prize,3968,1st
4136,2017-07-22,sppl=RHJhd051bWJlcj00MTM2,Sat,2017,29,first_prize,9674,1st
4135,2017-07-19,sppl=RHJhd051bWJlcj00MTM1,Wed,2017,29,first_prize,2970,1st
4134,2017-07-16,sppl=RHJhd051bWJlcj00MTM0,Sun,2017,29,first_prize,4722,1st
4133,2017-07-15,sppl=RHJhd051bWJlcj00MTMz,Sat,2017,28,first_prize,7348,1st
4132,2017-07-12,sppl=RHJhd051bWJlcj00MTMy,Wed,2017,28,first_prize,1099,1st
4131,2017-07-09,sppl=RHJhd051bWJlcj00MTMx,Sun,2017,28,first_prize,5467,1st
4130,2017-07-08,sppl=RHJhd051bWJlcj00MTMw,Sat,2017,27,first_prize,4952,1st
4129,2017-07-05,sppl=RHJhd051bWJlcj00MTI5,Wed,2017,27,first_prize,8599,1st
4128,2017-07-02,sppl=RHJhd051bWJlcj00MTI4,Sun,2017,27,first_prize,8939,1st
4127,2017-07-01,sppl=RHJhd051bWJlcj00MTI3,Sat,2017,26,first_prize,9842,1st
4126,2017-06-28,sppl=RHJhd051bWJlcj00MTI2,Wed,2017,26,first_prize,4197,1st
4125,2017-06-25,sppl=RHJhd051bWJlcj00MTI1,Sun,2017,26,first_prize,4104,1st
4124,2017-06-24,sppl=RHJhd051bWJlcj00MTI0,Sat,2017,25,first_prize,1464,1st
4123,2017-06-21,sppl=RHJhd051bWJlcj00MTIz,Wed,2017,25,first_prize,1644,1st
4122,2017-06-18,sppl=RHJhd051bWJlcj00MTIy,Sun,2017,25,first_prize,9206,1st
4121,2017-06-17,sppl=RHJhd051bWJlcj00MTIx,Sat,2017,24,first_prize,3332,1st
4120,2017-06-14,sppl=RHJhd051bWJlcj00MTIw,Wed,2017,24,first_prize,6439,1st
4119,2017-06-11,sppl=RHJhd051bWJlcj00MTE5,Sun,2017,24,first_prize,4618,1st
4118,2017-06-10,sppl=RHJhd051bWJlcj00MTE4,Sat,2017,23,first_prize,4498,1st
4117,2017-06-07,sppl=RHJhd051bWJlcj00MTE3,Wed,2017,23,first_prize,2760,1st
4116,2017-06-04,sppl=RHJhd051bWJlcj00MTE2,Sun,2017,23,first_prize,6242,1st
4115,2017-06-03,sppl=RHJhd051bWJlcj00MTE1,Sat,2017,22,first_prize,9737,1st
4114,2017-05-31,sppl=RHJhd051bWJlcj00MTE0,Wed,2017,22,first_prize,7486,1st
4113,2017-05-28,sppl=RHJhd051bWJlcj00MTEz,Sun,2017,22,first_prize,5340,1st
4112,2017-05-27,sppl=RHJhd051bWJlcj00MTEy,Sat,2017,21,first_prize,6268,1st
4111,2017-05-24,sppl=RHJhd051bWJlcj00MTEx,Wed,2017,21,first_prize,3383,1st
4110,2017-05-21,sppl=RHJhd051bWJlcj00MTEw,Sun,2017,21,first_prize,1040,1st
4109,2017-05-20,sppl=RHJhd051bWJlcj00MTA5,Sat,2017,20,first_prize,6355,1st
4108,2017-05-17,sppl=RHJhd051bWJlcj00MTA4,Wed,2017,20,first_prize,627,1st
4107,2017-05-14,sppl=RHJhd051bWJlcj00MTA3,Sun,2017,20,first_prize,5809,1st
4106,2017-05-13,sppl=RHJhd051bWJlcj00MTA2,Sat,2017,19,first_prize,1323,1st
4105,2017-05-10,sppl=RHJhd051bWJlcj00MTA1,Wed,2017,19,first_prize,563,1st
4104,2017-05-07,sppl=RHJhd051bWJlcj00MTA0,Sun,2017,19,first_prize,1731,1st
4103,2017-05-06,sppl=RHJhd051bWJlcj00MTAz,Sat,2017,18,first_prize,5300,1st
4102,2017-05-03,sppl=RHJhd051bWJlcj00MTAy,Wed,2017,18,first_prize,9657,1st
4101,2017-04-30,sppl=RHJhd051bWJlcj00MTAx,Sun,2017,18,first_prize,3997,1st
4100,2017-04-29,sppl=RHJhd051bWJlcj00MTAw,Sat,2017,17,first_prize,5513,1st
4099,2017-04-26,sppl=RHJhd051bWJlcj00MDk5,Wed,2017,17,first_prize,1495,1st
4098,2017-04-23,sppl=RHJhd051bWJlcj00MDk4,Sun,2017,17,first_prize,7239,1st
4097,2017-04-22,sppl=RHJhd051bWJlcj00MDk3,Sat,2017,16,first_prize,8300,1st
4096,2017-04-19,sppl=RHJhd051bWJlcj00MDk2,Wed,2017,16,first_prize,2163,1st
4095,2017-04-16,sppl=RHJhd051bWJlcj00MDk1,Sun,2017,16,first_prize,5411,1st
4094,2017-04-15,sppl=RHJhd051bWJlcj00MDk0,Sat,2017,15,first_prize,4074,1st
4093,2017-04-12,sppl=RHJhd051bWJlcj00MDkz,Wed,2017,15,first_prize,8393,1st
4092,2017-04-09,sppl=RHJhd051bWJlcj00MDky,Sun,2017,15,first_prize,6686,1st
4091,2017-04-08,sppl=RHJhd051bWJlcj00MDkx,Sat,2017,14,first_prize,7117,1st
4090,2017-04-05,sppl=RHJhd051bWJlcj00MDkw,Wed,2017,14,first_prize,2929,1st
4089,2017-04-02,sppl=RHJhd051bWJlcj00MDg5,Sun,2017,14,first_prize,9322,1st
4088,2017-04-01,sppl=RHJhd051bWJlcj00MDg4,Sat,2017,13,first_prize,9422,1st
4087,2017-03-29,sppl=RHJhd051bWJlcj00MDg3,Wed,2017,13,first_prize,6386,1st
4086,2017-03-26,sppl=RHJhd051bWJlcj00MDg2,Sun,2017,13,first_prize,9267,1st
4085,2017-03-25,sppl=RHJhd051bWJlcj00MDg1,Sat,2017,12,first_prize,4043,1st
4084,2017-03-22,sppl=RHJhd051bWJlcj00MDg0,Wed,2017,12,first_prize,1689,1st
4083,2017-03-19,sppl=RHJhd051bWJlcj00MDgz,Sun,2017,12,first_prize,9340,1st
4082,2017-03-18,sppl=RHJhd051bWJlcj00MDgy,Sat,2017,11,first_prize,758,1st
4081,2017-03-15,sppl=RHJhd051bWJlcj00MDgx,Wed,2017,11,first_prize,7962,1st
4080,2017-03-12,sppl=RHJhd051bWJlcj00MDgw,Sun,2017,11,first_prize,3372,1st
4079,2017-03-11,sppl=RHJhd051bWJlcj00MDc5,Sat,2017,10,first_prize,311,1st
4078,2017-03-08,sppl=RHJhd051bWJlcj00MDc4,Wed,2017,10,first_prize,6306,1st
4077,2017-03-05,sppl=RHJhd051bWJlcj00MDc3,Sun,2017,10,first_prize,3073,1st
4076,2017-03-04,sppl=RHJhd051bWJlcj00MDc2,Sat,2017,09,first_prize,478,1st
4075,2017-03-01,sppl=RHJhd051bWJlcj00MDc1,Wed,2017,09,first_prize,2475,1st
4074,2017-02-26,sppl=RHJhd051bWJlcj00MDc0,Sun,2017,09,first_prize,1607,1st
4073,2017-02-25,sppl=RHJhd051bWJlcj00MDcz,Sat,2017,08,first_prize,143,1st
4072,2017-02-22,sppl=RHJhd051bWJlcj00MDcy,Wed,2017,08,first_prize,1869,1st
4071,2017-02-19,sppl=RHJhd051bWJlcj00MDcx,Sun,2017,08,first_prize,7864,1st
4070,2017-02-18,sppl=RHJhd051bWJlcj00MDcw,Sat,2017,07,first_prize,9004,1st
4069,2017-02-15,sppl=RHJhd051bWJlcj00MDY5,Wed,2017,07,first_prize,4150,1st
4068,2017-02-12,sppl=RHJhd051bWJlcj00MDY4,Sun,2017,07,first_prize,2026,1st
4067,2017-02-11,sppl=RHJhd051bWJlcj00MDY3,Sat,2017,06,first_prize,4192,1st
4066,2017-02-08,sppl=RHJhd051bWJlcj00MDY2,Wed,2017,06,first_prize,6280,1st
4065,2017-02-05,sppl=RHJhd051bWJlcj00MDY1,Sun,2017,06,first_prize,7440,1st
4064,2017-02-04,sppl=RHJhd051bWJlcj00MDY0,Sat,2017,05,first_prize,9597,1st
4063,2017-02-01,sppl=RHJhd051bWJlcj00MDYz,Wed,2017,05,first_prize,1827,1st
4062,2017-01-29,sppl=RHJhd051bWJlcj00MDYy,Sun,2017,05,first_prize,1853,1st
4061,2017-01-28,sppl=RHJhd051bWJlcj00MDYx,Sat,2017,04,first_prize,5742,1st
4060,2017-01-25,sppl=RHJhd051bWJlcj00MDYw,Wed,2017,04,first_prize,4612,1st
4059,2017-01-22,sppl=RHJhd051bWJlcj00MDU5,Sun,2017,04,first_prize,9520,1st
4058,2017-01-21,sppl=RHJhd051bWJlcj00MDU4,Sat,2017,03,first_prize,7427,1st
4057,2017-01-18,sppl=RHJhd051bWJlcj00MDU3,Wed,2017,03,first_prize,7369,1st
